Trace               ,Cache Size  ,Policy      ,Hits        ,Misses      ,Hit Ratio   , Time(s)     ,DynamodbDRAM,DynamodbSSD ,MongodbDRAM ,MongodbSSD  ,SqlDRAM     ,SqlSSD      
zipf_1.0_0.0.tr     ,1000        ,LRU         ,803929      ,1196071     ,0.4019645   ,1.1948      ,12362674.5  ,14372497    ,60205514.5  ,62215337    ,120009064.5 ,122018887   
zipf_1.0_0.0.tr     ,2000        ,LRU         ,911500      ,1088500     ,0.45575     ,1.1552      ,11340750.0  ,13619500    ,54880750.0  ,57159500    ,109305750.0 ,111584500   
zipf_1.0_0.0.tr     ,3000        ,LRU         ,975608      ,1024392     ,0.487804    ,1.1637      ,10731724.0  ,13170744    ,51707404.0  ,54146424    ,102927004.0 ,105366024   
zipf_1.0_0.0.tr     ,4000        ,LRU         ,1021367     ,978633      ,0.5106835   ,1.1334      ,10297013.5  ,12850431    ,49442333.5  ,51995751    ,98373983.5  ,100927401   
zipf_1.0_0.0.tr     ,5000        ,LRU         ,1056745     ,943255      ,0.5283725   ,1.1516      ,9960922.5   ,12602785    ,47691122.5  ,50332985    ,94853872.5  ,97495735    
zipf_1.0_0.0.tr     ,6000        ,LRU         ,1085948     ,914052      ,0.542974    ,1.1314      ,9683494.0   ,12398364    ,46245574.0  ,48960444    ,91948174.0  ,94663044    
zipf_1.0_0.0.tr     ,7000        ,LRU         ,1110460     ,889540      ,0.55523     ,1.1365      ,9450630.0   ,12226780    ,45032230.0  ,47808380    ,89509230.0  ,92285380    
zipf_1.0_0.0.tr     ,8000        ,LRU         ,1131723     ,868277      ,0.5658615   ,1.1333      ,9248631.5   ,12077939    ,43979711.5  ,46809019    ,87393561.5  ,90222869    
zipf_1.0_0.0.tr     ,9000        ,LRU         ,1150761     ,849239      ,0.5753805   ,1.1318      ,9067770.5   ,11944673    ,43037330.5  ,45914233    ,85499280.5  ,88376183    
zipf_1.0_0.0.tr     ,10000       ,LRU         ,1167428     ,832572      ,0.583714    ,1.0951      ,8909434.0   ,11828004    ,42212314.0  ,45130884    ,83840914.0  ,86759484    
zipf_1.0_0.0.tr     ,20000       ,LRU         ,1279636     ,720364      ,0.639818    ,1.1441      ,7843458.0   ,11042548    ,36658018.0  ,39857108    ,72676218.0  ,75875308    
zipf_1.0_0.0.tr     ,30000       ,LRU         ,1344595     ,655405      ,0.6722975   ,1.2913      ,7226347.5   ,10587835    ,33442547.5  ,36804035    ,66212797.5  ,69574285    
zipf_1.0_0.0.tr     ,40000       ,LRU         ,1391228     ,608772      ,0.695614    ,1.1666      ,6783334.0   ,10261404    ,31134214.0  ,34612284    ,61572814.0  ,65050884    
zipf_1.0_0.0.tr     ,50000       ,LRU         ,1426656     ,573344      ,0.713328    ,1.1349      ,6446768.0   ,10013408    ,29380528.0  ,32947168    ,58047728.0  ,61614368    
